date,time,symbol,asset_type,price,currency,quantity,commission,tags,notes
20250305,07:12:06,CYCU,stock,0.8406,USD,1000,0.0,,
20250305,07:17:05,CYCU,stock,0.87,USD,-1000,0.0,,
20250320,07:33:34,EYEN,stock,2.34,USD,1000,0.0,,
20250320,07:35:52,EYEN,stock,2.22,USD,-1000,0.0,,
20250320,07:37:36,EYEN,stock,2.16,USD,1000,0.0,,
20250320,07:40:23,EYEN,stock,2.21,USD,-1000,0.0,,
20250320,07:44:17,PSTV,stock,0.6117,USD,1000,0.0,,
20250320,07:47:13,PSTV,stock,0.634,USD,-1000,0.0,,
20250320,08:01:06,WINT,stock,2.19,USD,1000,0.0,,
20250320,08:03:31,WINT,stock,2.31,USD,-1000,0.0,,
20250321,07:01:17,PNBK,stock,1.48,USD,1000,0.0,,
20250321,07:02:23,PNBK,stock,1.05,USD,-1000,0.0,,
20250321,07:04:00,ALUR,stock,4.08,USD,1000,0.0,,
20250321,07:05:20,ALUR,stock,4.09,USD,-1000,0.0,,
20250321,07:37:04,RNAZ,stock,1.04,USD,1000,0.0,,
20250321,07:37:45,RNAZ,stock,1.03,USD,-1000,0.0,,
20250321,07:39:30,RNAZ,stock,1.03,USD,1000,0.0,,
20250321,07:39:55,RNAZ,stock,1.03,USD,-1000,0.0,,
20250321,07:40:06,RNAZ,stock,1.04,USD,1000,0.0,,
20250321,07:40:30,RNAZ,stock,1.03,USD,-1000,0.0,,
20250321,08:04:40,ELAB,stock,8.72,USD,1000,0.0,,
20250321,08:05:09,ELAB,stock,8.07,USD,-1000,0.0,,
20250321,08:05:20,ELAB,stock,9.43,USD,1000,0.0,,
20250321,08:06:01,ELAB,stock,9.12,USD,-1000,0.0,,
20250321,08:09:01,ELAB,stock,8.19,USD,1000,0.0,,
20250321,08:14:35,ELAB,stock,7.16,USD,-1000,0.0,,
20250401,06:47:33,ICCT,stock,2.81,USD,1000,0.0,,
20250401,06:48:23,ICCT,stock,2.86,USD,-1000,0.0,,
